record-SOUR	ABBR	{0:1}
ADOP	ADDR	{0:1}
ANUL	ADDR	{0:1}
BAPM	ADDR	{0:1}
BARM	ADDR	{0:1}
BASM	ADDR	{0:1}
BIRT	ADDR	{0:1}
BLES	ADDR	{0:1}
BURI	ADDR	{0:1}
CAST	ADDR	{0:1}
CHR	ADDR	{0:1}
CHRA	ADDR	{0:1}
CONF	ADDR	{0:1}
CORP	ADDR	{0:1}
CREM	ADDR	{0:1}
DEAT	ADDR	{0:1}
DIV	ADDR	{0:1}
DIVF	ADDR	{0:1}
DSCR	ADDR	{0:1}
EDUC	ADDR	{0:1}
EMIG	ADDR	{0:1}
ENGA	ADDR	{0:1}
FAM-CENS	ADDR	{0:1}
FAM-EVEN	ADDR	{0:1}
FAM-FACT	ADDR	{0:1}
FAM-NCHI	ADDR	{0:1}
FAM-RESI	ADDR	{0:1}
FCOM	ADDR	{0:1}
GRAD	ADDR	{0:1}
IDNO	ADDR	{0:1}
IMMI	ADDR	{0:1}
INDI-CENS	ADDR	{0:1}
INDI-EVEN	ADDR	{0:1}
INDI-FACT	ADDR	{0:1}
INDI-NCHI	ADDR	{0:1}
INDI-RELI	ADDR	{0:1}
INDI-RESI	ADDR	{0:1}
INDI-TITL	ADDR	{0:1}
MARB	ADDR	{0:1}
MARC	ADDR	{0:1}
MARL	ADDR	{0:1}
MARR	ADDR	{0:1}
MARS	ADDR	{0:1}
NATI	ADDR	{0:1}
NATU	ADDR	{0:1}
NMR	ADDR	{0:1}
OCCU	ADDR	{0:1}
ORDN	ADDR	{0:1}
PROB	ADDR	{0:1}
PROP	ADDR	{0:1}
RETI	ADDR	{0:1}
SSN	ADDR	{0:1}
WILL	ADDR	{0:1}
record-REPO	ADDR	{0:1}
record-SUBM	ADDR	{0:1}
record-INDI	ADOP	{0:M}
ADOP-FAMC	FAMC-ADOP	{0:1}
ADDR	ADR1	{0:1}
ADDR	ADR2	{0:1}
ADDR	ADR3	{0:1}
ADOP	AGE	{0:1}
BAPM	AGE	{0:1}
BARM	AGE	{0:1}
BASM	AGE	{0:1}
BIRT	AGE	{0:1}
BLES	AGE	{0:1}
BURI	AGE	{0:1}
CAST	AGE	{0:1}
CHR	AGE	{0:1}
CHRA	AGE	{0:1}
CONF	AGE	{0:1}
